代理商 (Division),客户,客户名称,渠道分类,客户分类,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales)
温州赫利佳,9100067549,温州购物中心110号,食杂店,Non-KA,,176.76,,703.68,,938.24,,59.48,144.24,277.86,695.08,480.40,72.12,25.44,,"3,573.30"
温州赫利佳,9100067558,温州农贸路78号,食杂店,Non-KA,731.98,249.29,795.24,,481.92,703.68,,,,,,,,,,"2,962.11"
温州赫利佳,9100067561,温州利得隆望里神山村店,食杂店,Non-KA,,436.76,,,252.61,703.68,41.06,285.76,,137.76,31.69,496.40,,71.44,,"2,457.16"
温州赫利佳,9100067567,温州利得隆鹤溪店,食杂店,Non-KA,418.08,,,,,,,,,,,,,,,418.08
温州赫利佳,9100067568,温州鹤溪乐乐购超市,小型超级市场,Non-KA,,,,,,,,,,,,,,"1,148.48",,"1,148.48"
温州赫利佳,9100067569,温州永乐路45-4号永雪,食杂店,Non-KA,865.44,377.28,,665.59,555.56,510.74,117.28,206.99,158.90,104.60,246.36,"1,332.33",71.44,460.45,,"5,672.96"
温州赫利佳,9100067571,温州麻步大桥路87号,食杂店,Non-KA,770.38,201.12,336.01,288.48,648.76,158.90,266.43,226.96,,303.14,233.93,"1,476.57",,269.76,,"5,180.44"
温州赫利佳,9100067579,温州万客来自选,食杂店,Non-KA,402.56,,357.08,704.62,841.32,343.62,,,,,59.48,"1,269.68",,,,"3,978.36"
温州赫利佳,9100067580,温州金凤桥头,食杂店,Non-KA,827.68,"1,272.04",608.68,565.16,"1,582.22",306.71,141.60,"1,271.20",496.65,"1,919.99",377.28,164.24,285.76,"2,247.99",,"12,067.20"
温州赫利佳,9100067581,温州剧院路9号,食杂店,Non-KA,71.44,218.38,854.82,,732.32,"1,207.22",352.68,682.20,276.18,63.38,436.76,374.15,142.88,341.91,,"5,754.32"
温州赫利佳,9100067583,温州腾蛟彩宝,食杂店,Non-KA,378.80,428.64,317.80,438.28,763.20,382.97,138.96,363.37,353.52,835.88,328.48,450.44,142.88,298.10,,"5,621.32"
温州赫利佳,9100067584,温州乐乐购腾蛟,小型超级市场,Non-KA,524.93,"1,279.50",,"1,445.47","1,314.63","1,102.66","1,771.82","2,196.44",,"1,946.84","1,404.37","2,444.99","2,157.69",281.79,,"17,871.13"
温州赫利佳,9100067586,温州锦园超市,食杂店,Non-KA,635.60,218.38,713.72,576.96,985.56,594.99,368.48,398.25,490.50,310.41,430.08,561.90,,345.76,,"6,630.59"
温州赫利佳,9100067593,温州仕阳供销超市,小型超级市场,Non-KA,"2,581.80","3,683.95","2,595.83","2,005.66","2,242.20","2,447.86","1,687.14","1,346.73","1,357.89","1,569.12","1,609.15","2,063.19","2,045.32",805.58,,"28,041.42"
温州赫利佳,9100067594,温州仕阳仕兴路9号,批发商,WS,,635.60,"1,034.56",,,"11,539.20",,"10,642.40",,,,,,,,"23,851.76"
温州赫利佳,9100067596,温州泗溪供销超市,小型超级市场,Non-KA,"3,700.50","2,725.43","2,372.31","3,769.14","2,684.67","2,645.50","1,117.59","1,822.89","1,958.23","2,248.02","2,042.38","2,665.09",250.56,"2,735.52",,"32,737.83"
温州赫利佳,9100067597,温州南溪供销,食杂店,Non-KA,478.56,240.87,469.12,,841.32,,117.28,290.24,,373.22,158.90,496.40,35.72,374.59,,"3,876.22"
温州赫利佳,9100067598,温州筱村供销,小型超级市场,Non-KA,"1,944.81",,,376.37,772.08,321.00,351.84,"1,482.69",242.47,325.56,226.36,715.28,234.56,144.24,,"7,137.26"
温州赫利佳,9100067599,温州新浦乡供销,食杂店,Non-KA,261.52,"1,176.68","1,493.52","1,478.29","1,294.28",199.40,783.60,779.84,233.82,567.00,277.86,593.94,285.76,"1,579.04",,"11,004.55"
温州赫利佳,9100067602,温州浙江下洪供销超市,食杂店,Non-KA,576.96,494.56,,,,,,,,,,,,,,"1,071.52"
温州赫利佳,9100068321,温州万家购超市,小型超级市场,Non-KA,"1,479.40",,638.66,226.36,"1,438.54",189.70,277.28,591.70,286.20,"1,277.75",799.64,242.15,285.76,142.88,,"7,876.02"
温州赫利佳,9100069346,温州章良村永兴超市,小型超级市场,Non-KA,830.59,"1,899.09",845.60,412.35,305.73,192.53,256.24,357.14,596.87,394.56,"1,778.94",539.57,277.28,317.80,,"9,004.29"
温州赫利佳,9100069544,温州永华方南村店,小型超级市场,Non-KA,334.64,,983.04,94.85,467.43,615.17,291.35,847.92,452.72,"1,854.57","2,493.81",372.24,59.48,238.98,,"9,106.20"
温州赫利佳,9100069551,温州发联超市昆阳店,小型超级市场,LKA,"1,390.84","2,780.52","3,714.25","2,817.27","1,800.35","3,116.57",858.49,985.54,741.21,821.48,990.99,"3,055.09","1,508.32","3,289.28",,"27,870.20"
温州赫利佳,9100069561,温州南宋村130号叶志印,食杂店,Non-KA,293.21,433.26,204.48,,910.08,317.80,45.58,275.16,,142.88,180.58,707.10,133.04,158.90,,"3,802.07"
温州赫利佳,9100069576,温州万联霞关,食杂店,Non-KA,,,151.70,,227.55,,,220.09,,220.09,71.44,133.04,,,,"1,023.91"
