代理商 (Division),客户,客户名称,渠道分类,客户分类,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales)
温州赫利佳,9100296731,温州人民东路36号,食杂店,Non-KA,,288.48,,203.72,,,,,,,,,,71.44,,563.64
温州赫利佳,9100296732,温州马站北兴街214号,食杂店,Non-KA,377.60,177.60,,,,,,,,,,,,,,555.20
温州赫利佳,9100297276,温州龙港陈德光,食杂店,Non-KA,405.76,,987.26,825.52,588.08,,496.92,466.41,,276.18,246.01,687.60,683.67,41.88,,"5,705.29"
温州赫利佳,9100297856,温州敖江柳下菜场286号,食杂店,Non-KA,215.68,,464.43,717.25,588.08,812.94,292.20,406.47,272.71,193.13,349.49,660.08,142.88,"1,740.00",,"6,855.34"
温州赫利佳,9100297858,温州敖江吉祥路88号,食杂店,Non-KA,,,508.20,,,,,,,,,,,,,508.20
温州赫利佳,9100299270,温州萧江大同路1-4号,食杂店,Non-KA,288.48,,651.08,,470.80,,,,,,"3,178.00",721.20,,,,"5,309.56"
温州赫利佳,9100299396,温州易乐购便利店,食杂店,Non-KA,296.64,228.00,,,588.08,,,,,,,,,,,"1,112.72"
温州赫利佳,9100301555,温州敖江站前便利店,食杂店,Non-KA,303.14,218.38,626.90,591.00,526.18,71.44,296.14,324.59,,277.86,71.44,687.60,6.84,660.72,,"4,662.23"
温州赫利佳,9100302589,温州国丰便利店,食杂店,Non-KA,158.90,,71.44,452.90,291.62,144.24,433.96,591.60,,805.92,303.14,595.91,72.12,545.08,,"4,466.83"
温州赫利佳,9100302590,温州昆阳旺隆超市,食杂店,Non-KA,,218.38,158.90,141.60,328.17,276.18,271.26,552.20,,,435.08,381.01,35.72,887.05,,"3,685.55"
温州赫利佳,9100302974,温州灵溪竹场巷7号,食杂店,Non-KA,,,,,187.22,,,,,,"1,005.60",576.96,35.72,,,"1,805.50"
温州赫利佳,9100303190,温州龙港丰多多超市,食杂店,Non-KA,144.24,888.44,"1,243.94",579.15,328.17,659.68,373.52,383.20,233.82,506.95,442.10,382.84,234.56,144.24,,"6,544.85"
温州赫利佳,9100307045,温州敖江荷莲西路93号,食杂店,Non-KA,142.88,149.15,175.90,372.66,317.80,476.94,288.48,337.63,308.48,310.41,482.04,420.42,142.88,176.24,,"4,101.91"
温州赫利佳,9100307047,温州罗阳联华超市,小型超级市场,Non-KA,"5,803.50","3,753.57","2,879.75","7,594.36",,,"4,728.83","2,370.43",484.97,"1,642.23","2,639.81","1,487.90","2,982.14","4,105.15",405.76,"40,878.40"
温州赫利佳,9100307048,温州罗阳万村电商超市,食杂店,Non-KA,317.80,436.76,"2,172.23",,562.73,163.08,"2,025.82",223.94,,,765.18,,651.69,694.72,,"8,013.95"
温州赫利佳,9100307049,温州润佳购物中心,超级市场,LKA,"17,810.13","14,550.07","17,674.79","18,852.10","17,927.02","18,616.97","18,314.78","19,921.57","17,815.70","6,066.36","19,650.42","17,798.43","20,167.30","15,170.31",648.72,"240,984.67"
温州赫利佳,9100307053,温州敖江亿佳超市,小型超级市场,Non-KA,553.46,"1,842.30","1,256.61",958.88,"1,536.87","1,158.00","1,740.34","1,441.54",649.38,"1,919.95","1,834.83","1,659.33","1,209.69",476.78,,"18,237.96"
温州赫利佳,9100307055,温州金乡金城路32-34号,食杂店,Non-KA,522.80,176.76,,,,,,,,,,,,,,699.56
温州赫利佳,9100316873,温州敖江鹤祥东路76-78号,食杂店,Non-KA,,144.24,,268.76,328.17,144.24,299.43,404.64,,166.29,93.12,384.10,195.12,596.16,,"3,024.27"
温州赫利佳,9100316876,温州昆阳正斌超市,超级市场,LKA,"22,411.06","24,448.91","22,320.38","21,711.56","22,720.46","22,521.93","22,947.17","22,739.31","21,900.81","23,453.81","27,728.85","22,273.74","24,178.02","25,652.50",,"327,008.51"
温州赫利佳,9100316877,温州昆阳宜达超市,食杂店,Non-KA,71.44,203.72,158.90,634.25,445.45,261.52,353.52,591.60,298.12,557.30,218.38,459.47,72.12,118.96,,"4,444.75"
温州赫利佳,9100316878,温州昆阳金翔超市,食杂店,Non-KA,,,,,,,,,,214.32,,,,,,214.32
温州赫利佳,9100316879,温州敖江建安街42号,食杂店,Non-KA,,,385.26,203.72,445.45,510.29,351.84,483.26,,895.49,379.25,314.58,6.84,660.72,,"4,636.70"
温州赫利佳,9100316880,温州昆阳建业路140号,食杂店,Non-KA,,,,,445.45,469.12,,,,,,,,,,914.57
温州赫利佳,9100318821,温州昆阳佳联超市（体育）,小型超级市场,Non-KA,"1,566.61","1,503.24","2,543.31","3,214.39","1,477.84",833.57,"1,483.75",976.86,,616.56,288.48,"1,611.60",,"1,261.30",,"17,377.51"
温州赫利佳,9100320771,温州莒溪云仙街72号丽萍,食杂店,Non-KA,447.38,289.82,,59.48,408.90,126.76,489.24,316.43,,154.33,,,888.48,428.64,,"3,609.46"
温州赫利佳,9100320951,温州敖江园林路54号,食杂店,Non-KA,379.92,131.60,452.72,383.10,144.24,351.84,117.28,267.90,158.90,71.44,317.80,399.34,35.72,807.30,,"4,019.10"
温州赫利佳,9100321470,温州钱仓章小华便利店,食杂店,Non-KA,386.80,91.17,"1,940.40",,998.26,759.29,"1,118.36",,,,,234.56,,,,"5,528.84"
温州赫利佳,9100321472,温州敖江购福超市,食杂店,Non-KA,117.28,607.62,199.40,399.62,534.16,117.28,657.68,462.04,,754.56,482.60,399.93,,474.93,,"5,207.10"
温州赫利佳,9100322357,温州老副食品市场218号章志发,批发商,WS,,,"12,712.00","10,716.00","38,136.00","17,308.80",,,,,,,,"6,356.00",,"85,228.80"
温州赫利佳,9100322622,温州灵溪建兴西路157号,食杂店,Non-KA,656.34,255.53,510.74,226.36,416.88,635.60,587.22,304.68,,291.94,278.05,255.69,237.92,188.47,,"4,845.42"
温州赫利佳,9100322808,温州水头劲川东路47号,食杂店,Non-KA,,,,,470.80,514.92,583.68,297.04,,303.14,179.30,399.28,"1,128.04",189.82,,"4,066.02"
温州赫利佳,9100331538,温州赤溪滨海东路70-82号,食杂店,Non-KA,606.28,810.27,856.20,"1,465.98",189.56,337.65,399.57,235.68,353.52,351.42,881.96,482.04,716.19,228.00,,"7,914.32"
温州赫利佳,9100335281,温州瑞和生鲜超市,小型超级市场,Non-KA,512.66,"1,374.74","1,260.23","1,545.05",630.88,983.93,"2,033.48","1,459.11",,,,,831.64,,,"10,631.72"
温州赫利佳,9100335879,温州乐美乐购超市,食杂店,Non-KA,405.46,,,,470.80,699.80,353.52,343.64,372.13,273.81,436.76,410.32,142.88,"1,833.52",,"5,742.64"
温州赫利佳,9100336331,温州灵溪东仓路200号,食杂店,Non-KA,276.18,,405.76,203.72,470.80,411.32,,,,,,,,,,"1,767.78"
温州赫利佳,9100336332,温州马站利新超市,小型超级市场,Non-KA,606.28,"1,422.90",816.14,781.36,667.16,,,,,,,,144.24,,,"4,438.08"
温州赫利佳,9100346483,温州麻步林丽清,食杂店,Non-KA,626.14,883.77,923.66,,470.80,413.53,615.57,462.69,471.50,176.76,141.60,"1,486.88",,201.52,,"6,874.42"
温州赫利佳,9100346630,温州巴曹志刚超市,食杂店,Non-KA,288.48,250.07,,324.94,408.90,210.89,,,,,,,,,,"1,483.28"
温州赫利佳,9100347643,温州宋桥庭院8幢万联,食杂店,Non-KA,,,317.80,293.39,174.34,234.56,470.80,656.67,,45.57,180.58,347.04,565.41,,,"3,286.16"
温州赫利佳,9100347646,温州茂臻购物中心,小型超级市场,Non-KA,"3,152.67","4,375.33","1,393.95","1,328.20","1,766.86","5,679.02","1,571.48","4,675.24","1,587.83","2,348.30","2,588.62","2,135.17","1,022.13","4,502.14",,"38,126.94"
温州赫利佳,9100349037,温州彭溪连弟,食杂店,Non-KA,670.98,,380.62,,,,,,,,,,,,,"1,051.60"
温州赫利佳,9100349046,温州水头金山路79号,食杂店,Non-KA,,,389.24,,,,71.44,288.48,,104.60,164.24,288.48,35.72,496.11,,"1,838.31"
温州赫利佳,9100350596,温州尚客超市,食杂店,Non-KA,769.72,200.35,269.76,,,,,,,,,,,,,"1,239.83"
温州赫利佳,9100351316,温州昆阳雅河路546号,食杂店,Non-KA,650.84,876.32,235.38,133.98,158.90,234.56,516.40,560.03,229.22,407.10,431.36,182.10,158.90,656.54,,"5,431.63"
温州赫利佳,9100353491,温州龙港闽辉超市,小型超级市场,Non-KA,"1,364.07","1,223.28","2,210.53","3,019.57",695.88,"1,815.31","2,823.66",968.18,"2,454.32","2,898.33","2,143.12","2,410.59","3,448.71","2,609.87",,"30,085.42"
温州赫利佳,9100354629,温州货郎先生(钱惠)生活超市,小型超级市场,Non-KA,"1,630.77","3,298.92","2,493.37",484.44,848.33,"1,216.80","1,233.51",944.08,"1,792.99","1,188.60","1,671.73","1,536.58",706.00,"3,994.87",,"23,040.99"
温州赫利佳,9100355111,温州萧江沧海路46号,食杂店,Non-KA,351.84,175.66,351.84,,174.34,419.05,117.28,420.68,200.35,533.97,436.76,778.48,142.88,183.01,,"4,286.14"
温州赫利佳,9100357436,温州藻溪兴州路65号,食杂店,Non-KA,635.60,,,393.42,236.24,288.48,236.24,242.47,,218.38,657.28,480.08,716.94,238.48,,"4,343.61"
温州赫利佳,9100357961,温州桥墩丁宗倍,食杂店,Non-KA,576.96,751.19,877.96,510.76,236.24,138.96,601.02,,,,,,,,,"3,693.09"
温州赫利佳,9100357966,温州江山寿山好客隆超市,食杂店,Non-KA,281.09,,317.80,,,,,,,,,,,,,598.89
温州赫利佳,9100358659,温州上呈俊秀便利店,食杂店,Non-KA,71.44,377.28,82.12,278.08,329.48,433.96,117.28,369.44,,230.34,507.50,392.84,303.14,,,"3,492.90"
温州赫利佳,9100358910,温州海口路65号,食杂店,Non-KA,529.50,335.66,,,176.76,,,,,,,,,,,"1,041.92"
温州赫利佳,9100359035,温州民丰小区单一超市,食杂店,Non-KA,,,,777.64,"1,138.40",365.23,328.17,635.60,147.16,469.80,791.28,462.04,234.56,779.84,,"6,129.72"
温州赫利佳,9100359469,温州怀溪龙山中路394号,食杂店,Non-KA,,218.38,,"1,298.16",,,,868.84,,"1,347.00",200.98,288.48,118.96,194.78,,"4,535.58"
温州赫利佳,9100359586,温州龙港二高新校区供销超市,食杂店,Non-KA,144.24,377.28,,,236.24,,705.36,,546.64,440.02,"1,308.58",576.96,144.24,118.96,,"4,598.52"
温州赫利佳,9100361802,温州金发西路158号,食杂店,Non-KA,626.45,,626.28,664.56,470.80,80.07,818.24,324.59,,236.24,245.13,588.08,6.84,311.10,,"4,998.38"
温州赫利佳,9100364388,温州教场北路28号,食杂店,Non-KA,"1,038.20",,419.40,,416.88,530.81,,606.28,331.46,176.76,230.34,623.80,71.44,"2,593.28",,"7,038.65"
温州赫利佳,9100364389,温州先锋超市,小型超级市场,Non-KA,"5,276.02","8,716.11","6,057.86","5,371.31","3,265.57","3,949.25","4,045.71","5,615.22","4,231.79","8,884.58","2,654.16","1,790.38","1,640.70","8,080.34",,"69,579.00"
温州赫利佳,9100370866,温州欧德福超市,小型超级市场,Non-KA,"1,994.76","2,627.82","1,082.10","1,133.13","1,125.10","1,336.39","2,061.95","2,383.74",959.43,"1,225.88",,,,,,"15,930.30"
温州赫利佳,9100370869,温州钱仓农贸市场7-9号,食杂店,Non-KA,,,276.96,,416.88,234.76,368.48,557.15,516.37,433.96,277.86,234.56,,195.12,,"3,512.10"
温州赫利佳,9100370871,温州生润超市,小型超级市场,Non-KA,248.71,"1,655.04",780.78,801.78,"1,342.99",328.17,516.89,246.36,330.12,458.60,300.50,382.84,234.56,71.44,,"7,698.78"
温州赫利佳,9100375011,温州麻步大桥路20号,食杂店,Non-KA,,,,115.59,416.88,427.55,420.48,,,,,,,,,"1,380.50"
温州赫利佳,9100377625,温州昆阳闸桥街196号,食杂店,Non-KA,,,144.24,268.76,416.88,,,405.76,,215.68,148.97,523.04,35.72,674.35,,"2,833.40"
温州赫利佳,9100380727,温州司前振兴路38号,食杂店,Non-KA,462.04,591.60,,317.80,416.88,,234.56,399.12,288.48,440.02,,,72.12,"1,271.20",,"4,493.82"
温州赫利佳,9100381806,温州宜山新塘街44号,食杂店,Non-KA,385.26,131.60,,124.52,416.88,294.04,515.51,,,,,,,,,"1,867.81"
温州赫利佳,9100382076,温州钱库闽辉超市,小型超级市场,Non-KA,144.24,"1,282.38",,483.26,176.76,327.32,263.96,317.80,328.48,"1,002.92",564.16,399.92,234.56,228.00,,"5,753.76"
温州赫利佳,9100382077,温州丁元超市,小型超级市场,Non-KA,319.05,"1,369.28",,"1,371.15",842.24,"1,775.38","1,524.81","2,364.60",,"1,096.54","2,347.84",678.75,80.07,,,"13,769.71"
温州赫利佳,9100383094,温州梅溪建新街41号,食杂店,Non-KA,,71.44,,405.76,,,,226.36,,,71.44,397.75,35.72,141.89,,"1,350.36"
温州赫利佳,9100386174,温州灵溪妙多客超市,小型超级市场,Non-KA,"7,176.99","5,846.97","6,102.25","3,992.20","1,093.90","1,607.61","3,664.56","3,656.19",795.13,704.08,"2,937.39","1,349.38","1,829.13","5,299.61",144.24,"46,199.63"
温州赫利佳,9100386688,温州金乡金炎路5号闽辉超市,小型超级市场,Non-KA,673.74,"1,154.90",,665.59,,469.12,551.76,591.60,,230.34,300.95,443.64,41.06,913.03,,"6,035.73"
温州赫利佳,9100389749,温州石坪龟山巷31-33号,食杂店,Non-KA,,,,411.63,979.23,432.80,400.48,506.84,576.96,333.29,201.08,456.00,882.18,215.14,,"5,395.63"
温州赫利佳,9100389861,温州芦浦浦中路33-1号,食杂店,Non-KA,400.48,"1,017.79",117.28,"1,945.14",411.32,613.36,283.20,382.84,236.10,394.56,459.40,462.04,234.56,71.44,,"7,029.51"
温州赫利佳,9100390230,温州龙港街坊邻居生活超市詹守伟,小型超级市场,Non-KA,"2,275.47",,158.90,,,,,,,,,,,,,"2,434.37"
温州赫利佳,9100390995,温州万全爱购生鲜超市,小型超级市场,Non-KA,"1,278.13","1,118.88",993.53,"3,880.14","2,481.09",977.67,"1,825.45","1,012.04",,"1,703.87","1,665.26",943.89,984.26,744.15,,"19,608.36"
温州赫利佳,9100392931,温州桥墩云汇超市,小型超级市场,Non-KA,"1,014.40","1,596.81","1,505.74","1,151.26","2,836.81","2,752.72","1,327.21","1,470.60",,"2,658.09","1,847.05","3,058.14","2,127.17","3,318.64",,"26,664.64"
温州赫利佳,9100392933,温州宋桥街69号,食杂店,Non-KA,,317.80,,393.42,158.90,,388.54,317.80,,158.90,564.16,361.18,12.02,660.72,,"3,333.44"
温州赫利佳,9100392934,温州萧江庄里路339-349号,食杂店,Non-KA,158.90,,,476.36,294.04,,204.72,242.47,,236.24,246.36,303.38,35.72,71.44,,"2,269.63"
温州赫利佳,9100392935,温州庄里南路16号,食杂店,Non-KA,,,,,294.04,510.74,432.80,463.52,,214.32,,649.40,35.72,70.32,,"2,670.86"
温州赫利佳,9100393305,温州方刻批发超市,食杂店,Non-KA,428.64,,508.20,454.27,428.64,288.48,705.36,483.20,323.14,331.61,428.64,182.10,142.88,"1,740.00",,"6,445.16"
温州赫利佳,9100393307,温州乐美乐购超市吴金爱,食杂店,Non-KA,"6,225.33","1,271.20",,,,,,,,,,,"1,355.88",660.72,,"9,513.13"
温州赫利佳,9100395705,温州龙港繁荣路299号,食杂店,Non-KA,,,158.90,,470.80,188.46,305.84,304.68,,301.78,71.44,537.70,19.83,194.78,,"2,554.21"
温州赫利佳,9100396132,温州敖江小娜超市,小型超级市场,Non-KA,71.44,,774.06,576.96,144.24,597.04,816.51,331.60,379.40,192.52,405.26,386.96,144.24,694.80,,"5,515.03"
温州赫利佳,9100397549,温州赤溪康奶星婴幼儿用品,药店及日用品商店,Non-KA,,,,149.15,411.32,,,290.24,,,,,,,,850.71
温州赫利佳,9100397720,温州矾山文昌路9号,药店及日用品商店,Non-KA,,142.88,158.90,483.09,411.32,244.00,315.52,317.80,,218.38,91.17,190.93,9.77,"1,556.96",,"4,140.72"
温州赫利佳,9100403294,温州麻步大桥路82-88号,小型超级市场,Non-KA,"2,515.54","3,495.64","1,918.77","1,237.32","1,879.71","2,488.73","1,310.36","2,216.76",975.02,"2,291.15","1,597.26","2,269.02","2,008.51","3,070.51",,"29,274.30"
温州赫利佳,9100403447,温州龙港龙宁路327号,食杂店,Non-KA,,,301.78,,,,,,,,,,,,,301.78
温州赫利佳,9100407058,温州万全美格登家霖超市,小型超级市场,Non-KA,71.44,,323.82,576.96,600.84,71.44,968.56,335.66,302.95,376.30,462.04,303.14,230.34,247.68,,"4,871.17"
温州赫利佳,9100407060,温州水头望雁路82号,食杂店,Non-KA,269.52,,460.68,"1,026.04",294.04,,72.12,243.65,,45.57,180.58,190.40,789.63,,,"3,572.23"
温州赫利佳,9100408883,温州萧江万家惠新天地,小型超级市场,Non-KA,"2,665.62","3,345.82",958.00,"1,993.98","1,252.77","1,028.37","2,977.77","2,781.77","1,677.85","2,550.98","2,198.42","1,338.19","1,663.90",734.16,,"27,167.60"
温州赫利佳,9100411917,温州泰顺官口南路39-12号,食杂店,Non-KA,334.32,,,317.80,470.80,763.16,667.36,606.28,492.72,318.06,56.11,480.08,214.32,25.44,,"4,746.45"
温州赫利佳,9100412030,温州海城中心街106号,食杂店,Non-KA,261.52,158.90,,358.43,236.24,351.84,618.09,284.62,225.42,"1,644.42",245.13,465.44,6.84,362.75,,"5,219.64"
温州赫利佳,9100416360,温州矾山人民东街20号,药店及日用品商店,Non-KA,,,,,,,,158.90,145.11,,,,,,,304.01
温州赫利佳,9100416362,温州凤浦北路41号,食杂店,Non-KA,576.96,,,393.42,150.44,424.26,667.36,,,,,,,,,"2,212.44"
温州赫利佳,9100418199,温州仕阳吴玉秀,食杂店,Non-KA,261.52,,301.78,,150.44,,,496.08,,,,,,,,"1,209.82"
温州赫利佳,9100418200,温州明一百货,批发商,WS,,,,,,,"8,654.40","21,284.80","10,275.60","6,356.00","4,286.40",,,"-1,428.80",,"49,428.40"
温州赫利佳,9100419157,温州汇优生活超市,小型超级市场,Non-KA,"2,122.81",,377.87,,,"1,373.20","1,031.06",,,,,,"1,496.72",660.72,,"7,062.38"
温州赫利佳,9100419162,温州罗阳城北路413-415号,食杂店,Non-KA,462.04,,,393.42,221.88,510.74,469.12,206.99,,,657.28,158.90,273.48,72.12,,"3,425.97"
温州赫利佳,9100419576,温州龙河市场518号,批发商,WS,,,,,,,,"12,712.00",,,,,,,,"12,712.00"
温州赫利佳,9100419577,温州罗阳妙多客超市,小型超级市场,Non-KA,"1,989.12","9,424.06","1,553.35","3,535.92","3,622.29","2,715.63","2,150.42","3,507.90",344.59,"2,143.79","3,291.32","1,427.46","1,195.22","6,701.27",,"43,602.34"
温州赫利佳,9100419579,温州灵溪鑫联超市,小型超级市场,Non-KA,"4,281.55",635.60,692.52,,,830.44,,,,,,,"1,018.12",,,"7,458.23"
温州赫利佳,9100419860,温州龙港乐美乐购,小型超级市场,Non-KA,"1,353.96",428.73,"1,709.52",333.80,261.52,"1,581.53","1,968.17",,,,"1,180.00","1,502.46",727.76,694.72,,"11,742.17"
温州赫利佳,9100420533,温州龙港妙多客超市,小型超级市场,Non-KA,"6,819.66","3,851.34","3,227.32","9,959.15","3,647.90","9,920.04","2,520.83","8,736.28","3,491.76","3,763.11","4,606.58","9,043.61","4,033.97","2,175.63","1,081.07","76,878.25"
温州赫利佳,9100420820,温州敖江全汇超市,小型超级市场,Non-KA,230.34,,380.62,385.26,150.44,633.34,381.01,460.68,437.14,638.95,547.39,464.96,234.56,385.26,,"5,329.95"
温州赫利佳,9100421853,温州灵溪新市场133-135号林立转,批发商,WS,"4,286.40",,,,"8,572.80","4,286.40","9,044.80","12,238.88","7,812.00","9,534.00","8,572.80",,,"8,153.40",,"72,501.48"
温州赫利佳,9100422241,温州龙港馨康超市,食杂店,Non-KA,,,288.48,351.84,348.46,209.65,485.76,283.79,284.74,754.56,190.59,276.88,94.85,94.85,,"3,664.45"
温州赫利佳,9100422242,温州灵溪润佳超市,超级市场,Non-KA,"1,711.74","2,453.31","3,008.51","2,960.52","3,607.67","1,376.19","1,907.85","4,029.83",589.60,"7,087.37","2,521.57","1,683.73","2,633.07",602.86,,"36,173.82"
温州赫利佳,9100423969,温州龙港旺得利文楼村菜市场旁212号,食杂店,Non-KA,,,,"2,123.16",635.60,"3,789.58","3,627.24","1,271.20",425.55,"5,321.20","4,494.27","5,043.30",,"3,840.69",,"30,571.79"
温州赫利佳,9100423970,温州龙河市场578号,批发商,WS,,,,,,,,"12,712.00",,,,,,,,"12,712.00"
温州赫利佳,9100424165,温州新副食品市场180-184号,批发商,WS,,,,,,,,"6,356.00",,"4,286.40","6,356.00",,,,,"16,998.40"
温州赫利佳,9100424166,温州麻步棋桥村88号,食杂店,Non-KA,,317.80,,,267.72,280.87,470.80,,,291.94,241.02,525.88,288.48,173.20,,"2,857.71"
温州赫利佳,9100424167,温州黄丽丽,食杂店,Non-KA,,,,,385.00,519.11,405.74,331.86,,136.48,31.69,182.89,35.72,"1,133.16",,"3,161.65"
温州赫利佳,9100429286,温州钱库柯永法钱南东路,食杂店,Non-KA,,880.82,,"2,404.98",424.12,268.98,711.76,595.07,287.02,396.82,253.75,354.80,266.08,144.24,,"6,988.44"
温州赫利佳,9100430454,温州龙翔路1388号爱德大药房,药店及日用品商店,Non-KA,,,,203.72,385.00,,,,,,,,,,,588.72
温州赫利佳,9100431213,温州贝之乐奶粉店,食杂店,Non-KA,,,,203.72,351.84,,,,,,,,,,,555.56
温州赫利佳,9100431215,温州李笑清化妆品,食杂店,Non-KA,,,,203.72,351.84,,117.28,,,,,,,,,672.84
温州赫利佳,9100432076,温州湖前木桥街1号,食杂店,Non-KA,158.90,,,321.00,351.84,224.82,,226.36,,276.18,206.12,479.05,35.72,158.90,,"2,438.89"
温州赫利佳,9100432688,温州宜山仁寿街4号,食杂店,Non-KA,,,,298.57,351.84,,368.48,,,,,,,,,"1,018.89"
温州赫利佳,9100434106,温州宜山新塘街91号,食杂店,Non-KA,,,,298.57,351.84,276.18,368.48,,,,,,,,,"1,295.07"
温州赫利佳,9100436893,温州灵溪上街4号,食杂店,Non-KA,,,,"2,024.27","1,699.84",237.92,283.20,"5,321.20",,"3,178.00","4,286.40","2,366.94",285.76,"2,904.25",,"22,587.78"
温州赫利佳,9100436907,温州龙港睿驰供应链管理有限公司,超级市场,LKA,512.31,"6,648.06","14,661.86","11,134.75","15,068.66","13,376.33","6,712.17","5,627.43","10,876.99","8,541.47","9,921.90","11,350.22","6,026.20","7,595.73","1,224.28","129,278.36"
温州赫利佳,9100437921,温州钱库好客隆超市,食杂店,Non-KA,,,436.76,391.60,234.56,332.70,117.28,225.20,,230.34,271.82,386.55,59.48,144.24,,"2,830.53"
温州赫利佳,9100438360,温州南门百益家楼下淘宝屋周小华,食杂店,Non-KA,,,158.90,405.76,703.68,,,,,,,,,,,"1,268.34"
温州赫利佳,9100440849,温州灵溪朝阳北路66－70号,食杂店,Non-KA,,,,321.00,500.81,,,,,,,,,,,821.81
温州赫利佳,9100440851,温州钱库兴中南路益众超市,食杂店,Non-KA,,,,316.68,,,,,,,,,,,,316.68
温州赫利佳,9100443111,温州金乡金狮路87号,食杂店,Non-KA,,,,203.72,,,,,,,,,,,,203.72
温州赫利佳,9100448062,温州环城路9号 王玉琴,食杂店,Non-KA,314.59,,,293.39,234.56,510.29,,206.99,,212.13,339.48,652.58,35.72,71.44,,"2,871.17"
温州赫利佳,9100456741,龙港市莲华超市,小型超级市场,Non-KA,,"1,776.46",317.80,,652.18,"2,171.81","2,202.08",,,,967.20,,"1,359.84","1,945.43",,"11,392.80"
温州赫利佳,9100457387,苍南县灵溪镇睿悦手机店,食杂店,Non-KA,,158.90,,"1,064.64",234.56,,117.28,378.80,,158.90,158.90,698.72,35.72,,,"3,006.42"
温州赫利佳,9100457388,苍南县灵溪镇岳幸便利店,食杂店,Non-KA,,158.90,,410.67,117.28,,,261.52,,158.90,158.90,417.78,35.72,,,"1,719.67"
温州赫利佳,9100457721,温州尚吉超市有限公司,小型超级市场,Non-KA,,"7,252.55",976.08,"1,314.97","3,237.32","2,630.36","4,769.63","9,463.08","1,354.32","4,120.45","2,990.04","1,038.28","2,180.74","7,970.97",621.36,"49,920.15"
温州赫利佳,9100465672,苍南县新玉便利店（兴隆盛）,食杂店,Non-KA,,,"1,894.33",899.12,576.96,"1,322.59","1,386.52","1,907.72",,"1,119.88","1,721.02","2,631.58",500.69,883.19,,"14,843.60"
温州赫利佳,9100467868,温州平阳县优购超市,小型超级市场,Non-KA,,,"2,509.88","3,348.12","6,044.96","2,531.40","1,616.83","5,507.28","1,535.88","3,945.86","6,154.14","4,547.53","4,602.74","3,684.03",,"46,028.65"
温州赫利佳,9100467870,温州平阳县项锦雁电子商务商行（校场路8号）,药店及日用品商店,Non-KA,,,428.64,203.72,,,,545.64,,,,,35.72,71.44,,"1,285.16"
温州赫利佳,9100468436,温州平阳县瑞尚生鲜超市（老温）,小型超级市场,Non-KA,,,"2,051.10",447.38,"1,901.87","1,403.90","1,188.49","2,025.45","1,071.62","2,093.62","1,510.12","2,188.73",761.01,"6,542.31",,"23,185.60"
温州赫利佳,9100468676,温州龙港市亿尚生鲜超市,小型超级市场,Non-KA,,,"2,029.28","2,806.25","1,829.18","2,244.61",989.12,"2,213.46","1,423.28","4,629.19","1,960.00","1,268.55","1,761.93","7,793.96",805.96,"31,754.77"
温州赫利佳,9100468677,温州龙港市永秋副食品店（李洪省）,食杂店,Non-KA,,,"1,837.21",,"1,891.22","1,955.50","3,310.95","1,614.47",,,"1,516.37","1,244.46",298.30,"1,158.22",,"14,826.70"
温州赫利佳,9100468678,温州苍南县家加乐超市,食杂店,Non-KA,,,"1,341.23",,707.04,"1,289.74","1,230.62",,"1,817.92",,"1,214.19","1,149.49","1,157.48","3,874.71",,"13,782.42"
温州赫利佳,9100468679,温州熹集贸易有限公司（许鲜生）,小型超级市场,Non-KA,,,"1,472.31",393.46,"1,592.96","1,808.10",687.50,330.36,"1,562.83","3,071.06","1,756.68","2,093.48","1,309.00",186.12,,"16,263.86"
温州赫利佳,9100469331,温州龙港市云融汇超市,小型超级市场,Non-KA,,,"1,568.60","2,235.04",930.26,"1,454.14","1,760.05",711.76,"1,380.15","1,615.12","1,869.68","2,678.68","1,601.12",932.46,,"18,737.06"
温州赫利佳,9100473243,温州平阳县盐业公司,食杂店,Non-KA,,,,"1,107.57",71.44,"1,681.68","2,251.57","1,154.90","2,081.59",,"1,090.18","1,128.63","1,071.70","2,086.85",,"13,726.11"
温州赫利佳,9100473979,温州平阳县万乐超市,食杂店,Non-KA,,,,"1,453.36","1,464.08","1,508.64","1,624.62",752.63,,,,,"1,464.76",358.67,,"8,626.76"
温州赫利佳,9100474709,温州平阳县黄加念香烟店（国道北路47-49号）,食杂店,Non-KA,,,,625.97,720.12,,,,,,,,35.72,,,"1,381.81"
温州赫利佳,9100481115,温州赫利佳居家日用生活馆,电商,Online-BTC,,,,,"1,558.47","1,336.17","2,083.53",512.35,65.83,732.96,"15,161.74",285.09,107.68,,,"21,843.82"
温州赫利佳,9100486744,苍南县宜购生活超市（天天购）,小型超级市场,Non-KA,,,,,,"1,621.24",852.76,158.90,,"1,359.00","2,049.58","2,291.52","1,245.64",805.58,,"10,384.22"
温州赫利佳,9100487316,苍南县宜山东跳副食品店（杨祖康）,食杂店,Non-KA,,,,,,144.24,226.54,305.84,,825.16,772.89,288.48,35.72,71.44,,"2,670.31"
温州赫利佳,9100487737,平阳县周云锋食品店,食杂店,Non-KA,,,,,,144.24,,,,,,,,,,144.24
